"week","age_clas","sg_uf","sobre","obitos","let_obs"
2020-02-22,"age_0_19","SP",1,0,0
2020-02-22,"age_20_39","BA",1,0,0
2020-02-22,"age_20_39","CE",1,0,0
2020-02-22,"age_20_39","MT",1,0,0
2020-02-22,"age_20_39","RJ",1,0,0
2020-02-22,"age_20_39","SC",2,0,0
2020-02-22,"age_20_39","SP",0,1,1
2020-02-22,"age_20_39","TO",0,1,1
2020-02-22,"age_40_59","AL",1,1,0.5
2020-02-22,"age_40_59","BA",0,1,1
2020-02-22,"age_40_59","CE",1,0,0
2020-02-22,"age_40_59","MG",1,0,0
2020-02-22,"age_40_59","MT",1,0,0
2020-02-22,"age_40_59","PA",0,1,1
2020-02-22,"age_40_59","PB",1,0,0
2020-02-22,"age_40_59","PE",0,1,1
2020-02-22,"age_40_59","RO",0,1,1
2020-02-22,"age_40_59","SC",1,0,0
2020-02-22,"age_40_59","SP",3,2,0.4
2020-02-22,"age_60_75","AL",1,0,0
2020-02-22,"age_60_75","AM",0,1,1
2020-02-22,"age_60_75","BA",0,1,1
2020-02-22,"age_60_75","MA",0,1,1
2020-02-22,"age_60_75","MG",2,0,0
2020-02-22,"age_60_75","RS",1,0,0
2020-02-22,"age_60_75","SC",1,1,0.5
2020-02-22,"age_60_75","SP",0,1,1
2020-02-22,"age_75","CE",1,1,0.5
2020-02-22,"age_75","MG",1,1,0.5
2020-02-22,"age_75","PA",1,0,0
2020-02-22,"age_75","PB",1,0,0
2020-02-22,"age_75","RJ",0,1,1
2020-02-22,"age_75","RN",0,1,1
2020-02-22,"age_75","RO",0,1,1
2020-02-22,"age_75","SP",0,1,1
2020-02-29,"age_0_19","PE",1,0,0
2020-02-29,"age_0_19","SP",2,0,0
2020-02-29,"age_20_39","AM",1,0,0
2020-02-29,"age_20_39","CE",2,0,0
2020-02-29,"age_20_39","ES",1,0,0
2020-02-29,"age_20_39","MG",2,0,0
2020-02-29,"age_20_39","PE",1,0,0
2020-02-29,"age_20_39","RJ",1,0,0
2020-02-29,"age_40_59","CE",1,0,0
2020-02-29,"age_40_59","MG",1,0,0
2020-02-29,"age_40_59","PA",0,1,1
2020-02-29,"age_40_59","PE",1,1,0.5
2020-02-29,"age_40_59","RJ",2,0,0
2020-02-29,"age_40_59","RO",0,1,1
2020-02-29,"age_40_59","SP",3,0,0
2020-02-29,"age_60_75","BA",2,2,0.5
2020-02-29,"age_60_75","CE",0,1,1
2020-02-29,"age_60_75","MG",4,1,0.2
2020-02-29,"age_60_75","MS",0,1,1
2020-02-29,"age_60_75","MT",1,0,0
2020-02-29,"age_60_75","PA",1,1,0.5
2020-02-29,"age_60_75","PB",1,0,0
2020-02-29,"age_60_75","RJ",1,2,0.666666666666667
2020-02-29,"age_60_75","RO",0,1,1
2020-02-29,"age_60_75","SE",0,1,1
2020-02-29,"age_60_75","SP",5,0,0
2020-02-29,"age_75","MG",1,2,0.666666666666667
2020-02-29,"age_75","PB",0,1,1
2020-03-07,"age_0_19","MA",1,0,0
2020-03-07,"age_0_19","PE",1,0,0
2020-03-07,"age_0_19","PR",1,0,0
