"week","age_clas","sg_uf","sobre","obitos","let_obs"
2020-01-04,"age_0_19","AM",4,0,0
2020-01-04,"age_0_19","BA",6,0,0
2020-01-04,"age_0_19","CE",10,0,0
2020-01-04,"age_0_19","DF",14,0,0
2020-01-04,"age_0_19","ES",1,0,0
2020-01-04,"age_0_19","GO",11,0,0
2020-01-04,"age_0_19","MA",1,0,0
2020-01-04,"age_0_19","MG",5,1,0.166666666666667
2020-01-04,"age_0_19","MS",2,0,0
2020-01-04,"age_0_19","PA",4,0,0
2020-01-04,"age_0_19","PE",8,1,0.111111111111111
2020-01-04,"age_0_19","PI",4,0,0
2020-01-04,"age_0_19","PR",30,3,0.0909090909090909
2020-01-04,"age_0_19","RJ",11,1,0.0833333333333333
2020-01-04,"age_0_19","RN",1,0,0
2020-01-04,"age_0_19","RS",14,1,0.0666666666666667
2020-01-04,"age_0_19","SC",5,1,0.166666666666667
2020-01-04,"age_0_19","SE",1,0,0
2020-01-04,"age_0_19","SP",52,3,0.0545454545454545
2020-01-04,"age_0_19","TO",1,0,0
2020-01-04,"age_20_39","AM",2,2,0.5
2020-01-04,"age_20_39","BA",4,0,0
2020-01-04,"age_20_39","CE",1,1,0.5
2020-01-04,"age_20_39","ES",2,0,0
2020-01-04,"age_20_39","GO",1,0,0
2020-01-04,"age_20_39","MA",2,1,0.333333333333333
2020-01-04,"age_20_39","MG",8,1,0.111111111111111
2020-01-04,"age_20_39","MS",3,0,0
2020-01-04,"age_20_39","PI",1,0,0
2020-01-04,"age_20_39","PR",5,0,0
2020-01-04,"age_20_39","RJ",1,0,0
2020-01-04,"age_20_39","RS",3,0,0
2020-01-04,"age_20_39","SP",14,2,0.125
2020-01-04,"age_20_39","TO",1,0,0
2020-01-04,"age_40_59","AM",2,1,0.333333333333333
2020-01-04,"age_40_59","BA",1,0,0
2020-01-04,"age_40_59","DF",1,0,0
2020-01-04,"age_40_59","GO",3,0,0
2020-01-04,"age_40_59","MA",1,0,0
2020-01-04,"age_40_59","MG",6,3,0.333333333333333
2020-01-04,"age_40_59","MS",2,0,0
2020-01-04,"age_40_59","MT",0,1,1
2020-01-04,"age_40_59","PA",2,0,0
2020-01-04,"age_40_59","PE",0,1,1
2020-01-04,"age_40_59","PR",4,2,0.333333333333333
2020-01-04,"age_40_59","RJ",1,0,0
2020-01-04,"age_40_59","RS",0,1,1
2020-01-04,"age_40_59","SP",14,3,0.176470588235294
2020-01-04,"age_40_59","TO",2,0,0
2020-01-04,"age_60_75","AC",1,0,0
2020-01-04,"age_60_75","DF",2,0,0
2020-01-04,"age_60_75","GO",0,3,1
2020-01-04,"age_60_75","MG",6,1,0.142857142857143
2020-01-04,"age_60_75","PA",1,1,0.5
2020-01-04,"age_60_75","PE",0,1,1
2020-01-04,"age_60_75","PR",3,2,0.4
2020-01-04,"age_60_75","RJ",3,2,0.4
2020-01-04,"age_60_75","RS",3,2,0.4
2020-01-04,"age_60_75","SC",1,0,0
2020-01-04,"age_60_75","SP",4,4,0.5
2020-01-04,"age_75","AC",0,1,1
2020-01-04,"age_75","AM",0,1,1
2020-01-04,"age_75","BA",0,1,1
2020-01-04,"age_75","DF",0,1,1
2020-01-04,"age_75","ES",2,0,0
2020-01-04,"age_75","MG",16,3,0.157894736842105
2020-01-04,"age_75","PA",2,0,0
2020-01-04,"age_75","RJ",1,0,0
2020-01-04,"age_75","RO",0,4,1
2020-01-04,"age_75","RS",1,2,0.666666666666667
2020-01-04,"age_75","SC",1,0,0
2020-01-04,"age_75","SP",11,2,0.153846153846154
2020-01-11,"age_0_19","AL",1,0,0
2020-01-11,"age_0_19","AM",8,1,0.111111111111111
2020-01-11,"age_0_19","BA",9,0,0
2020-01-11,"age_0_19","CE",10,2,0.166666666666667
2020-01-11,"age_0_19","DF",15,0,0
2020-01-11,"age_0_19","ES",3,0,0
2020-01-11,"age_0_19","GO",7,2,0.222222222222222
2020-01-11,"age_0_19","MA",1,1,0.5
2020-01-11,"age_0_19","MG",4,1,0.2
2020-01-11,"age_0_19","MS",3,0,0
2020-01-11,"age_0_19","PA",3,1,0.25
2020-01-11,"age_0_19","PB",1,0,0
2020-01-11,"age_0_19","PE",10,0,0
2020-01-11,"age_0_19","PI",2,1,0.333333333333333
2020-01-11,"age_0_19","PR",16,0,0
2020-01-11,"age_0_19","RJ",12,0,0
2020-01-11,"age_0_19","RR",1,0,0
2020-01-11,"age_0_19","RS",14,1,0.0666666666666667
2020-01-11,"age_0_19","SC",3,0,0
2020-01-11,"age_0_19","SP",51,0,0
2020-01-11,"age_0_19","TO",1,0,0
2020-01-11,"age_20_39","AL",1,0,0
2020-01-11,"age_20_39","AM",3,0,0
2020-01-11,"age_20_39","DF",1,1,0.5
2020-01-11,"age_20_39","ES",0,1,1
2020-01-11,"age_20_39","GO",2,0,0
2020-01-11,"age_20_39","MG",4,1,0.2
2020-01-11,"age_20_39","MS",3,0,0
2020-01-11,"age_20_39","MT",1,0,0
2020-01-11,"age_20_39","PA",2,0,0
2020-01-11,"age_20_39","PR",5,1,0.166666666666667
2020-01-11,"age_20_39","RN",3,0,0
2020-01-11,"age_20_39","RS",2,1,0.333333333333333
2020-01-11,"age_20_39","SP",12,4,0.25
2020-01-11,"age_20_39","TO",1,0,0
2020-01-11,"age_40_59","AC",1,0,0
2020-01-11,"age_40_59","AM",5,1,0.166666666666667
2020-01-11,"age_40_59","BA",2,1,0.333333333333333
2020-01-11,"age_40_59","CE",0,1,1
2020-01-11,"age_40_59","DF",0,1,1
2020-01-11,"age_40_59","ES",1,0,0
2020-01-11,"age_40_59","GO",4,2,0.333333333333333
2020-01-11,"age_40_59","MG",9,1,0.1
2020-01-11,"age_40_59","MS",1,0,0
2020-01-11,"age_40_59","PA",3,1,0.25
2020-01-11,"age_40_59","PE",1,0,0
2020-01-11,"age_40_59","PI",3,0,0
2020-01-11,"age_40_59","PR",6,0,0
2020-01-11,"age_40_59","RJ",3,2,0.4
2020-01-11,"age_40_59","RN",0,1,1
2020-01-11,"age_40_59","RS",1,3,0.75
2020-01-11,"age_40_59","SC",3,0,0
2020-01-11,"age_40_59","SP",8,3,0.272727272727273
2020-01-11,"age_40_59","TO",2,0,0
2020-01-11,"age_60_75","AC",1,0,0
2020-01-11,"age_60_75","AM",1,3,0.75
2020-01-11,"age_60_75","BA",0,1,1
2020-01-11,"age_60_75","CE",2,1,0.333333333333333
2020-01-11,"age_60_75","ES",2,0,0
2020-01-11,"age_60_75","GO",1,3,0.75
2020-01-11,"age_60_75","MG",6,0,0
2020-01-11,"age_60_75","PA",1,0,0
2020-01-11,"age_60_75","PE",1,0,0
2020-01-11,"age_60_75","PR",6,2,0.25
2020-01-11,"age_60_75","RO",1,1,0.5
2020-01-11,"age_60_75","RS",1,1,0.5
2020-01-11,"age_60_75","SC",2,0,0
2020-01-11,"age_60_75","SP",8,5,0.384615384615385
2020-01-11,"age_75","AC",1,0,0
2020-01-11,"age_75","AM",1,2,0.666666666666667
2020-01-11,"age_75","CE",1,0,0
2020-01-11,"age_75","ES",2,0,0
2020-01-11,"age_75","MA",1,0,0
2020-01-11,"age_75","MG",15,0,0
2020-01-11,"age_75","MS",0,1,1
2020-01-11,"age_75","PA",2,0,0
2020-01-11,"age_75","PE",0,1,1
2020-01-11,"age_75","PI",2,0,0
2020-01-11,"age_75","PR",2,2,0.5
2020-01-11,"age_75","RJ",3,0,0
2020-01-11,"age_75","RS",4,0,0
2020-01-11,"age_75","SP",6,4,0.4
2020-01-18,"age_0_19","AC",1,0,0
2020-01-18,"age_0_19","AM",10,0,0
2020-01-18,"age_0_19","BA",6,2,0.25
2020-01-18,"age_0_19","CE",12,0,0
